p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
6.1821251370585e-222	5.65835781440732	0.431	0.014	2.07336112846668e-217	c10	TRDC
3.74072344849421e-194	5.91323775926941	0.36	0.01	1.25456383015599e-189	c10	TRGV9
7.41790199653714e-192	6.37971857141552	0.316	0.006	2.48781597159863e-187	c10	TYROBP
2.61950237464491e-163	5.32703796876864	0.284	0.007	8.7852870640841e-159	c10	TRDV2
3.61071955898808e-130	5.30017239664136	0.24	0.007	1.21096312569342e-125	c10	FCGR3A
3.63651774742803e-125	3.28147286344161	0.92	0.318	1.21961532213241e-120	c10	CCL5
1.04106883068376e-115	3.12590623079157	0.902	0.375	3.49153664434718e-111	c10	CST7
1.09656495931647e-98	3.83430181592548	0.476	0.07	3.67765956055557e-94	c10	GZMK
1.40198328238462e-98	8.03513197986357	0.138	0.001	4.70197153246155e-94	c10	FGFBP2
9.05253992950395e-90	5.56079455381693	0.138	0.002	3.03604084155703e-85	c10	CX3CR1
4.32347326498341e-83	3.76961163427019	0.36	0.045	1.45000646361014e-78	c10	GZMH
3.37434875727072e-80	4.15579245438443	0.413	0.066	1.13168908621345e-75	c10	KLRD1
4.38353256795318e-80	9.80870322528019	0.102	0	1.47014915264014e-75	c10	KIR3DL1
1.67448927877837e-68	2.47992085414139	0.684	0.236	5.61590214316691e-64	c10	CTSW
3.70879580933847e-67	1.89156282732694	0.907	0.416	1.24385593853594e-62	c10	NKG7
1.64400636247202e-66	6.6206876990351	0.129	0.004	5.51366853845865e-62	c10	FCER1G
2.62872319206655e-54	2.09666856638912	0.56	0.163	8.81621184155278e-50	c10	CCL4
1.58877925902874e-53	4.47278145538886	0.2	0.02	5.32844787893059e-49	c10	MATK
3.89251691739273e-51	6.61006628316048	0.102	0.004	1.30547232375517e-46	c10	XCL2
4.71429352748252e-50	1.88058060028556	0.72	0.31	1.58107976324709e-45	c10	PRF1
1.61950136510256e-49	3.94882611075426	0.133	0.008	5.43148367828096e-45	c10	AOAH
4.07994440943768e-49	4.4685579922654	0.173	0.016	1.36833175603721e-44	c10	C1orf21
1.1070384028323e-44	1.40103721928569	0.76	0.321	3.71278539541897e-40	c10	GZMA
5.26938020692826e-43	1.77936607472781	0.751	0.371	1.7672447337996e-38	c10	GNLY
7.12466957780455e-42	3.76890579668323	0.298	0.063	2.38947168300409e-37	c10	CLIC3
3.44938222163411e-41	4.11473162103672	0.129	0.01	1.15685380949165e-36	c10	SLAMF7
4.59979918674208e-40	2.71947700030961	0.338	0.082	1.54268065124956e-35	c10	CD300A
2.83840193661965e-38	0.810528300744877	0.996	0.894	9.51943241503497e-34	c10	RPS19
3.56900129693758e-38	1.59242816418442	0.693	0.38	1.19697165496693e-33	c10	RARRES3
8.43266423219307e-38	1.49756172501119	0.707	0.327	2.82814693019291e-33	c10	HOPX
1.52228594047616e-36	3.91469161690746	0.12	0.01	5.10544258716893e-32	c10	PTGDR
8.79736687237477e-34	10.0928981741088	0.04	0	2.95046090165705e-29	c10	FCRL6
4.1890798090726e-32	3.2012804346329	0.156	0.021	1.40493358636677e-27	c10	CCL4L2
6.8161437005416e-32	4.0121228526012	0.107	0.009	2.28599827428764e-27	c10	TRGC1
8.25202415239931e-32	7.022492945572	0.058	0.002	2.76756386023168e-27	c10	FAM49A
1.2684593247717e-31	4.82284005044405	0.089	0.006	4.25415888341934e-27	c10	XCL1
1.49556537481165e-31	7.09640638500054	0.049	0.001	5.01582715404332e-27	c10	SH2D1B
3.29911702000705e-30	9.90916916703169	0.036	0	1.10645786616996e-25	c10	KLRF1
3.29911702000705e-30	8.80840023098461	0.036	0	1.10645786616996e-25	c10	LILRB1
6.268085713605e-30	0.693485405817495	0.996	0.862	2.10219058662885e-25	c10	RPS27A
2.13994756980715e-29	2.19365279228013	0.156	0.023	7.17695615961922e-25	c10	PECAM1
1.07610136610647e-27	0.696517613111354	0.973	0.813	3.60902876164789e-23	c10	RPS15A
6.26770105916227e-27	0.747338933168943	0.956	0.789	2.10206158122184e-22	c10	RPS27
1.60367453932904e-26	0.630939478473111	0.982	0.841	5.37840367000172e-22	c10	RPL30
2.22035609933769e-26	0.722630640142678	0.969	0.828	7.44663028595876e-22	c10	RPS24
8.24300454810957e-25	1.4257138957439	0.671	0.494	2.76453886534499e-20	c10	HCST
5.05251497854118e-24	0.685136570312091	0.96	0.777	1.69451247350314e-19	c10	RPL35A
6.27600779058027e-24	1.38751239683234	0.747	0.551	2.10484749280481e-19	c10	IFITM2
8.02513462649707e-24	1.81079697308175	0.467	0.22	2.69146965103459e-19	c10	KLRG1
9.00414643502908e-24	0.647286726042988	0.973	0.839	3.01981063138005e-19	c10	RPS7
2.18837398124763e-23	0.636711368896198	0.969	0.819	7.33936865830832e-19	c10	FAU
2.65875574628788e-23	0.618863896183868	0.991	0.833	8.91693502190029e-19	c10	RPS14
3.34581052699736e-23	1.85358269850979	0.431	0.193	1.12211793454437e-18	c10	PLEK
4.13334422676704e-23	1.10307948423407	0.627	0.326	1.38624098677313e-18	c10	GZMB
4.34385765760256e-23	0.527596246151927	0.996	0.904	1.45684298120675e-18	c10	RPS3
4.69873654297273e-23	8.04440116350503	0.027	0	1.57586226178219e-18	c10	KIR3DX1
1.10716678801269e-22	0.65894891352059	0.964	0.797	3.71321597363696e-18	c10	RPL34
1.30475413243749e-22	0.488078490127948	0.996	0.871	4.37588440936884e-18	c10	RPS12
1.9145381773988e-22	1.64462156873924	0.596	0.381	6.4209781393601e-18	c10	LITAF
1.00475821236669e-21	3.79684898332025	0.089	0.01	3.36975809263542e-17	c10	CD244
2.38541513886296e-21	0.575961752507748	0.973	0.839	8.00020529271859e-17	c10	RPL14
5.60290664884789e-21	6.23835541061277	0.04	0.001	1.8791028318906e-16	c10	CCL23
6.21135048077754e-21	1.25591467178584	0.653	0.433	2.08316272424317e-16	c10	GIMAP4
6.41928488047074e-21	0.50852905061486	1	0.9	2.15289976321228e-16	c10	RPL41
1.19080983958021e-20	0.445412364721791	1	0.965	3.9937380399841e-16	c10	EEF1A1
2.04030522656736e-20	6.90470602559026	0.031	0.001	6.84277566886163e-16	c10	KIR2DL1
2.21399972762868e-20	1.05054341268778	0.684	0.461	7.42531228652108e-16	c10	GIMAP7
2.5285866982437e-20	0.58624485277327	0.982	0.856	8.48037406856971e-16	c10	RPL7A
5.96677090005209e-20	0.622195844529025	0.947	0.827	2.00113562445947e-15	c10	RPL6
1.16241891223388e-19	1.50019040205689	0.6	0.384	3.89852054784997e-15	c10	ANXA1
1.17960479711132e-19	5.47469049367702	0.044	0.002	3.95615856855195e-15	c10	LINC00996
1.31271451072596e-19	5.41567716780257	0.027	0	4.40258192607271e-15	c10	KLRC2
1.43753915200761e-19	0.529375024323829	0.978	0.852	4.82121880800313e-15	c10	RPS15
1.79507873735971e-19	8.94761963490849	0.022	0	6.020335069357e-15	c10	PDGFD
2.31190727143206e-19	0.706891631111024	0.916	0.76	7.75367460692885e-15	c10	RPL21
1.42232848101885e-18	3.2911888012646	0.147	0.032	4.77020525964102e-14	c10	KLRC1
1.98156517583031e-18	1.94088927731388	0.431	0.221	6.64577328669969e-14	c10	GZMM
2.85252797875771e-18	0.438886352241258	0.996	0.916	9.56680833515759e-14	c10	RPL10
6.20020763861807e-18	0.462920900440685	0.987	0.865	2.07942563783973e-13	c10	RPL11
1.26561091748905e-17	0.531314922374209	0.96	0.801	4.24460589507477e-13	c10	RPS25
2.0935257933937e-17	0.597585265528874	0.942	0.795	7.02126680588378e-13	c10	NACA
2.45331740113436e-17	1.44787029817109	0.547	0.362	8.22793589992441e-13	c10	APOBEC3G
3.2720261830674e-17	0.455121276186651	0.973	0.881	1.09737214127714e-12	c10	RPL13
3.71301886428749e-17	0.828534909603079	0.924	0.78	1.24527226670474e-12	c10	IFITM1
8.27268245532506e-17	2.50403833565082	0.093	0.015	2.77449224186692e-12	c10	CADM1
2.08101552741902e-16	2.45158842343671	0.182	0.052	6.97930987585792e-12	c10	TRG-AS1
3.58975482178389e-16	0.458486250323373	0.982	0.88	1.20393197212988e-11	c10	RPS4X
3.98505447184745e-16	6.52231427327961	0.022	0	1.3365075687682e-11	c10	RTP5
5.74161288896331e-16	0.504895050610999	0.982	0.837	1.92562213070052e-11	c10	RPL32
6.96341242941006e-16	9.54291102167851	0.018	0	2.33538926057555e-11	c10	KIR2DL4
9.19686985658319e-16	2.80363888858064	0.191	0.06	3.08444621250087e-11	c10	EOMES
1.09218463406265e-15	0.459667283898203	0.969	0.834	3.6629688257193e-11	c10	RPS3A
1.37204761750975e-15	0.551472355912732	0.929	0.792	4.60157329960419e-11	c10	RPL23A
1.76005552079876e-15	3.57096088461	0.076	0.011	5.90287420565489e-11	c10	TRGV7
2.13479880664546e-15	2.54131626697964	0.133	0.031	7.15968823772754e-11	c10	AKR1C3
2.89848744538476e-15	0.365026567055812	0.996	0.922	9.72094719433139e-11	c10	RPLP1
3.80796776325875e-15	0.472174812053376	0.938	0.767	1.27711622844172e-10	c10	RPL39
4.13916924879659e-15	0.442793744139816	0.982	0.892	1.3881945826614e-10	c10	RPL19
