p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
3.39379772787851e-247	5.04717375249998	0.489	0.02	1.1382118819759e-242	c8	TRDC
9.1760296568171e-247	6.49892785660122	0.397	0.008	3.07745682630332e-242	c8	TYROBP
6.33601333247495e-210	5.79706745343188	0.387	0.013	2.12497215144545e-205	c8	TRGV9
9.98189878978508e-166	5.5703217334366	0.284	0.007	3.34772921611812e-161	c8	FCGR3A
7.4786121055565e-152	5.07503096581225	0.277	0.009	2.50817692796154e-147	c8	TRDV2
2.00310290175146e-132	3.00133775490379	0.908	0.342	6.71800651189404e-128	c8	CCL5
7.64511632827243e-125	7.96598963147071	0.174	0.001	2.56401911417601e-120	c8	FGFBP2
1.84513535583852e-120	2.8851045811454	0.879	0.398	6.18821495641122e-116	c8	CST7
2.89107681697498e-119	6.05176024745777	0.17	0.002	9.6960934287707e-115	c8	CX3CR1
2.1902924925305e-98	3.54766527204538	0.45	0.073	7.34580296144878e-94	c8	GZMK
1.0198442878093e-96	3.64649164871816	0.369	0.047	3.42035377245485e-92	c8	GZMH
3.51239625166111e-96	6.79387481191831	0.174	0.005	1.1779874548821e-91	c8	FCER1G
8.43154324202404e-94	3.92593745919219	0.426	0.07	2.82777097251002e-89	c8	KLRD1
1.30146173772774e-83	1.89440567202581	0.911	0.435	4.3648423759913e-79	c8	NKG7
2.89882974155357e-83	2.35920631876668	0.706	0.247	9.72209518722237e-79	c8	CTSW
1.03646925675849e-79	9.76931443489396	0.103	0	3.47611059331663e-75	c8	KIR3DL1
1.08897895978639e-67	1.94956256873124	0.592	0.173	3.6522176353316e-63	c8	CCL4
9.43266675562283e-67	1.85091916168212	0.762	0.324	3.16352777650078e-62	c8	PRF1
3.40650743137591e-63	4.53175088271071	0.191	0.017	1.14247446233485e-58	c8	C1orf21
3.60079146494779e-62	1.4681117846689	0.812	0.35	1.20763344151419e-57	c8	GZMA
3.85983917443765e-58	4.32149129639408	0.206	0.023	1.2945128623229e-53	c8	MATK
6.28581094319602e-58	1.77804979566683	0.787	0.387	2.10813527412908e-53	c8	GNLY
2.23409926027106e-49	3.92095664859986	0.128	0.009	7.49272209909708e-45	c8	AOAH
2.07552089268491e-45	6.44591262966517	0.074	0.002	6.96088196988667e-41	c8	SH2D1B
5.38610731420839e-43	3.55901608196996	0.291	0.067	1.80639267103921e-38	c8	CLIC3
3.41114010211129e-42	1.32428960686697	0.745	0.364	1.14402816744608e-37	c8	HOPX
1.55559745975279e-40	2.61911629124734	0.323	0.086	5.21716276051889e-36	c8	CD300A
9.30347449051416e-40	3.88201878656398	0.124	0.011	3.12019927462864e-35	c8	SLAMF7
1.96294416978842e-39	5.77290493544061	0.089	0.005	6.58332215663639e-35	c8	XCL2
6.05931503935513e-38	8.97817308792849	0.046	0	2.03217307789892e-33	c8	LILRB1
1.72819614601927e-36	1.28658348763913	0.688	0.345	5.79602423451943e-32	c8	GZMB
4.38173806912779e-36	5.66582967144529	0.057	0.001	1.46954731362408e-31	c8	CTBP2
