Cluster	CD3E	Cluster_Size	Clonotype_Pct	km_cluster	is_selected
c1	3.1686854796951	775	0.892903225806452	1	FALSE
c2	5.51395447953457	692	0.875722543352601	1	FALSE
c3	9.30290873459328	642	0.825545171339564	2	TRUE
c4	1.51908397526663	550	0.252727272727273	1	FALSE
c5	5.60914851217464	527	0.385199240986717	1	FALSE
c6	8.90649897335383	524	0.877862595419847	2	TRUE
c7	5.56586706494183	513	0.898635477582846	1	FALSE
c8	6.99472078809092	497	0.875251509054326	2	TRUE
c9	2.38411715917679	487	0.0985626283367557	1	FALSE
c10	7.97563278738745	430	0.734883720930233	2	TRUE
c11	4.2795697057438	406	0.512315270935961	1	FALSE
c12	8.78154245763671	401	0.870324189526185	2	TRUE
c13	3.65644437779736	387	0.863049095607235	1	FALSE
c14	10.2434220214967	362	0.828729281767956	2	TRUE
c15	9.10002862937256	340	0.923529411764706	2	TRUE
c16	6.99233548650654	284	0.911971830985915	2	TRUE
c17	9.3904297046265	243	0.436213991769547	2	TRUE
c18	10.0734089562737	110	0.818181818181818	2	TRUE
c19	11.1285826748252	109	0.752293577981651	2	TRUE
c20	0.492020318573117	86	0	1	FALSE
