p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
2.64437168757187e-134	1.54054076129553	1	1	8.86869376577855e-130	c7	MT-CO1
8.95675481989097e-133	1.70979465418109	1	0.999	3.00391643149503e-128	c7	MT-CO3
1.42456533263822e-130	1.54280728473827	1	1	4.77770721260207e-126	c7	MT-CO2
9.24423469365385e-126	1.59377282024971	1	0.998	3.10033143155763e-121	c7	MT-ND4L
4.7529352336066e-123	1.48717204632074	1	0.999	1.59403941864698e-118	c7	MT-CYB
3.27731706010748e-112	1.55863569139217	1	0.996	1.09914659561885e-107	c7	MT-ATP6
9.86171071714216e-100	1.67699947667033	0.993	0.968	3.30742054031514e-95	c7	MT-ATP8
1.49733516172392e-92	1.47646683158311	0.986	0.951	5.0217626653897e-88	c7	MT-ND5
5.52839079576132e-87	1.33460264967631	0.983	0.952	1.85411170508243e-82	c7	MT-ND3
8.09342353643281e-84	1.57285743090917	0.952	0.813	2.71437238564884e-79	c7	PTPRC
6.97280864148016e-81	1.90865336398132	0.917	0.74	2.33854056217962e-76	c7	RNF213
1.89831745617107e-80	1.34235543038835	0.983	0.965	6.36657708450653e-76	c7	MT-ND1
5.18758165711089e-68	1.59728963322072	0.969	0.896	1.73981113616185e-63	c7	MTRNR2L12
2.16911398687485e-65	2.42307108429484	0.779	0.5	7.27477448918087e-61	c7	ITGB1
9.76586304159933e-63	1.37486039499462	0.931	0.856	3.27527514689158e-58	c7	MT-ND2
8.80621673260665e-60	1.07333596879153	0.965	0.94	2.95342896778162e-55	c7	MT-ND4
5.29512645725466e-53	2.16753296182192	0.754	0.533	1.77587951123407e-48	c7	ITGA4
3.71524344113522e-50	1.86451760700782	0.768	0.581	1.24601834528793e-45	c7	HSP90B1
3.79879239639965e-50	1.63152629180445	0.799	0.609	1.27403899390451e-45	c7	MT-ND6
5.60548527485705e-50	2.46587056905422	0.64	0.345	1.87996765148156e-45	c7	SLC5A3
3.85815371236802e-49	2.01623180051031	0.803	0.625	1.29394759205399e-44	c7	NEAT1
1.15257292233603e-48	1.86897144589671	0.754	0.518	3.86549906693057e-44	c7	TNFRSF1B
