Cluster	CD3E	Cluster_Size	Clonotype_Pct	km_cluster	is_TCell
c1	-0.442228500192098	878	0.886104783599089	2	FALSE
c2	-0.169541752929317	756	0.664021164021164	2	FALSE
c3	-0.634666435696065	717	0.880055788005579	2	FALSE
c4	0.111180092042149	650	0.909230769230769	1	TRUE
c5	-1.11297733253972	534	0.891385767790262	2	FALSE
c6	0.735012727205913	532	0.87781954887218	1	TRUE
c7	-0.276184760578263	484	0.361570247933884	2	FALSE
c8	1.15331275818048	477	0.836477987421384	1	TRUE
c9	0.217378213987386	464	0.872844827586207	1	TRUE
c10	-1.336029694891	435	0.0919540229885057	2	FALSE
c11	0.390371166570393	413	0.719128329297821	1	TRUE
c12	-1.30965349893953	400	0.3125	2	FALSE
c13	0.174694662867902	341	0.865102639296188	1	TRUE
c14	1.2886600017262	305	0.79672131147541	1	TRUE
c15	0.669702541593389	280	0.457142857142857	1	TRUE
c16	1.05992025948624	186	0.93010752688172	1	TRUE
c17	-1.76594701498447	148	0.135135135135135	2	FALSE
c18	-1.31427965345973	145	0.0758620689655172	2	FALSE
c19	1.48834319857016	112	0.776785714285714	1	TRUE
c20	1.07293302197998	108	0.824074074074074	1	TRUE
